활발함(Active),먹성(Gluttony),인내심(Patience),호기심(Curiosity),충성도(Loyalty),대기 (Idle),배회 (Wander),식사 (Eat),침대 수면 (Sleep),바닥 수면 (Floor),놀이 (Play),그루밍 (Groom),목욕 (Wash),정리 (Clean)
0.0,0.0,0.0,0.0,0.0,70.89999999999999,0.0,0.2,0.0,0.0,20.8,0.0,7.9,0.2
0.0,0.0,0.0,0.0,1.0,29.299999999999997,34.1,8.799999999999999,5.7,0.1,0.1,0.6,3.8,17.5
0.0,0.0,0.0,1.0,0.0,68.60000000000001,0.0,1.9,0.0,0.0,21.5,0.0,8.0,0.0
0.0,0.0,0.0,1.0,1.0,6.6000000000000005,36.8,8.9,8.6,0.0,0.0,14.799999999999999,3.5000000000000004,20.8
0.0,0.0,1.0,0.0,0.0,79.2,0.0,0.2,0.0,0.0,18.7,0.0,1.7000000000000002,0.2
0.0,0.0,1.0,0.0,1.0,73.6,1.0,0.7000000000000001,0.0,0.0,17.2,0.0,0.8999999999999999,6.6000000000000005
0.0,0.0,1.0,1.0,0.0,79.3,0.0,0.4,0.0,0.0,19.6,0.0,0.7000000000000001,0.0
0.0,0.0,1.0,1.0,1.0,65.7,0.6,0.0,0.1,0.3,24.9,0.0,3.0,5.4
0.0,1.0,0.0,0.0,0.0,61.6,1.6,8.200000000000001,0.0,0.0,19.2,0.0,9.4,0.0
0.0,1.0,0.0,0.0,1.0,32.5,15.299999999999999,21.9,3.1,0.3,5.0,2.4,7.3,12.2
0.0,1.0,0.0,1.0,0.0,34.8,2.1999999999999997,24.3,4.7,0.0,16.8,0.0,17.2,0.0
0.0,1.0,0.0,1.0,1.0,4.5,32.7,33.7,7.8,1.3,0.2,5.7,7.3999999999999995,6.7
0.0,1.0,1.0,0.0,0.0,61.9,2.0,9.1,0.0,0.0,19.3,0.0,7.7,0.0
0.0,1.0,1.0,0.0,1.0,56.699999999999996,16.3,12.4,0.0,0.0,3.5999999999999996,0.0,1.7999999999999998,9.2
0.0,1.0,1.0,1.0,0.0,63.4,0.3,9.2,0.0,0.0,20.1,0.0,7.000000000000001,0.0
0.0,1.0,1.0,1.0,1.0,59.4,4.3999999999999995,6.6000000000000005,1.2,0.0,19.1,0.5,3.9,4.9
1.0,0.0,0.0,0.0,0.0,0.0,76.4,7.9,11.5,0.0,1.2,0.0,3.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,19.3,5.3,3.5999999999999996,3.4000000000000004,0.0,0.0,6.4,62.0
1.0,0.0,0.0,1.0,0.0,0.0,82.19999999999999,2.8000000000000003,11.1,0.0,1.0999999999999999,0.0,2.7,0.1
1.0,0.0,0.0,1.0,1.0,0.0,67.5,0.1,2.3,12.8,0.2,0.0,7.000000000000001,10.100000000000001
1.0,0.0,1.0,0.0,0.0,11.3,42.9,4.7,7.5,0.0,30.4,0.0,3.2,0.0
1.0,0.0,1.0,0.0,1.0,0.0,21.9,5.4,5.800000000000001,0.2,0.0,0.0,6.4,60.3
1.0,0.0,1.0,1.0,0.0,0.0,58.199999999999996,1.5,8.799999999999999,0.0,28.4,0.0,3.1,0.0
1.0,0.0,1.0,1.0,1.0,0.0,33.4,0.0,7.8,3.5999999999999996,23.5,0.0,22.3,9.4
1.0,1.0,0.0,0.0,0.0,0.0,70.6,14.399999999999999,11.200000000000001,0.0,0.2,0.0,3.5999999999999996,0.0
1.0,1.0,0.0,0.0,1.0,0.0,69.19999999999999,13.0,8.7,2.5,0.0,0.0,1.4000000000000001,5.2
1.0,1.0,0.0,1.0,0.0,1.6,64.8,12.8,12.0,0.0,0.6,0.0,8.200000000000001,0.0
1.0,1.0,0.0,1.0,1.0,0.0,67.60000000000001,9.4,8.0,3.9,0.0,0.0,4.0,7.1
1.0,1.0,1.0,0.0,0.0,4.9,66.9,13.100000000000001,10.2,0.0,0.3,0.0,4.6,0.0
1.0,1.0,1.0,0.0,1.0,1.4000000000000001,65.4,11.700000000000001,10.299999999999999,0.0,0.0,0.0,2.9000000000000004,8.3
1.0,1.0,1.0,1.0,0.0,2.7,70.3,9.4,11.3,0.0,0.6,0.0,5.7,0.0
1.0,1.0,1.0,1.0,1.0,0.0,72.5,8.3,10.4,0.0,0.0,0.0,2.5,6.3
